source_vocabulary_id,source_code,n_events
ATC,NULL,2294954
ATC,NA,550479
ATC,A01AA01,14783
ATC,A01AA03,2427
ATC,A01AA51,2255
ATC,A01AB03,20370
ATC,A01AB04,9091
ATC,A01AB09,19434
ATC,A01AB11,290
ATC,A01AC01,1755
ATC,A01AD11,2455
ATC,A02AA04,20898
ATC,A02AD01,6964
ATC,A02AH,47938
ATC,A02BA02,83649
ATC,A02BA03,7443
ATC,A02BA53,109
ATC,A02BB01,219018
ATC,A02BC01,453860
ATC,A02BC02,3242952
ATC,A02BC03,133017
ATC,A02BC04,27411
ATC,A02BC05,621257
ATC,A02BD02,465
ATC,A02BD03,3861
ATC,A02BD07,18682
ATC,A02BX02,6395
ATC,A02BX13,215080
ATC,A02X,345
ATC,A03AB02,32385
ATC,A03AD01,765
ATC,A03AX,110
ATC,A03AX13,56929
ATC,A03BA01,48559
ATC,A03BB01,124118
ATC,A03CA02,27663
ATC,A03DA02,776872
ATC,A03FA01,1517031
ATC,A03FA02,1100
ATC,A03FA03,470
ATC,A04AA01,2003769
ATC,A04AA02,260062
ATC,A04AA03,5758
ATC,A04AA05,9558
ATC,A04AA55,28995
ATC,A04AD01,15490
ATC,A04AD12,87784
ATC,A05AA02,86305
ATC,A06AB02,17370
ATC,A06AB06,1750
ATC,A06AB08,498488
ATC,A06AB56,2055
ATC,A06AB58,3450
ATC,A06AC01,216799
ATC,A06AC05,855
ATC,A06AC51,21339
ATC,A06AD10,1255
ATC,A06AD11,799979
ATC,A06AD15,850282
ATC,A06AD17,200
ATC,A06AD65,196322
ATC,A06AG02,14814
ATC,A06AG10,44047
ATC,A06AG11,42086
ATC,A06AH01,11515
ATC,A06AH03,10405
ATC,A06AX04,2184
ATC,A06AX05,4665
ATC,A07AA02,127516
ATC,A07AA06,3607
ATC,A07AA09,27409
ATC,A07AA11,9235
ATC,A07AA12,1579
ATC,A07BA01,20207
ATC,A07CA,3023
ATC,A07DA03,223013
ATC,A07DA06,245
ATC,A07DA53,1815
ATC,A07EA02,29834
ATC,A07EA06,67073
ATC,A07EB01,390
ATC,A07EC01,239561
ATC,A07EC02,274398
ATC,A07EC03,350
ATC,A07FA,1637
ATC,A07FA01,145759
ATC,A07FA02,155468
ATC,A07FA51,6930
ATC,A07XA04,7045
ATC,A08AA62,764
ATC,A08AB01,2996
ATC,A09AA02,69480
ATC,A10AB01,65571
ATC,A10AB04,110187
ATC,A10AB05,740093
ATC,A10AB06,28744
ATC,A10AC01,107023
ATC,A10AD01,185
ATC,A10AD04,915
ATC,A10AD05,22404
ATC,A10AE02,130
ATC,A10AE04,560553
ATC,A10AE05,358701
ATC,A10AE06,26052
ATC,A10BA02,681163
ATC,A10BB01,675
ATC,A10BB07,619
ATC,A10BB12,34019
ATC,A10BD05,2565
ATC,A10BD07,48603
ATC,A10BD08,4868
ATC,A10BD10,530
ATC,A10BD11,2075
ATC,A10BD15,3109
ATC,A10BD19,270
ATC,A10BD20,3568
ATC,A10BF01,329
ATC,A10BG03,17223
ATC,A10BH01,151633
ATC,A10BH02,18304
ATC,A10BH03,1180
ATC,A10BH04,265
ATC,A10BH05,53041
ATC,A10BJ01,2785
ATC,A10BJ02,15566
ATC,A10BJ05,3105
ATC,A10BJ06,10475
ATC,A10BK01,14421
ATC,A10BK02,152
ATC,A10BK03,36113
ATC,A10BX01,740
ATC,A10BX02,6069
ATC,A10BX04,8205
ATC,A10BX07,17697
ATC,A10BX09,5560
ATC,A10BX12,4251
ATC,A10BX14,170
ATC,A11AA01,170
ATC,A11AA04,99337
ATC,A11BA,885
ATC,A11CA01,270
ATC,A11CB,680
ATC,A11CC01,6921
ATC,A11CC02,3045
ATC,A11CC03,203819
ATC,A11CC05,416298
ATC,A11CC07,289
ATC,A11DA01,329033
ATC,A11DB,70520
ATC,A11EA,51194
ATC,A11EB,52035
ATC,A11EX,9273
ATC,A11GA01,12638
ATC,A11HA02,22835
ATC,A11HA03,2525
ATC,A11HA05,380
ATC,A11HA06,195
ATC,A11HA30,2259
ATC,A11JB,3168
ATC,A11JC,40531
ATC,A12AA,475
ATC,A12AA02,6299
ATC,A12AA04,189314
ATC,A12AA06,3300
