sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:sourceConceptId,ADD_INFO:sourceName_fi,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
INPAT|1,INPAT | Service Sector: Hospital / health center ward,3011131,,2002300101,INPAT | Palvelua: Sairaalan vuodeosasto / terveyskeskuksen vuodeosastohoito,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,0.00,INVALID_TARGET,UNREVIEWED,Sam,1674691200000,0,Unmapped,,MAPS_TO,Invalid existing target: 8756,,0,
OUTPAT|1,OUTPAT | Service Sector: Hospital / health center ward,0,,2002300102,OUTPAT | Palvelua: Sairaalan vuodeosasto / terveyskeskuksen vuodeosastohoito,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
OPER_IN|1,OPER_IN | Service Sector: Hospital / health center ward,3274179,,2002300103,OPER_IN | Palvelua: Sairaalan vuodeosasto / terveyskeskuksen vuodeosastohoito,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,0.00,INVALID_TARGET,UNREVIEWED,Sam,1674691200000,0,Unmapped,,MAPS_TO,Invalid existing target: 8756,,0,
OPER_OUT|1,OPER_OUT | Service Sector: Hospital / health center ward,0,,2002300104,OPER_OUT | Palvelua: Sairaalan vuodeosasto / terveyskeskuksen vuodeosastohoito,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
INPAT|2,INPAT | Service Sector: Day surgery,25363,,2002300105,INPAT | Palvelua: Päiväkirurgia,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,0.00,APPROVED,UNREVIEWED,Sam,1674691200000,9202,Outpatient Visit,Visit,MAPS_TO,,Javier,1674691200000,
OUTPAT|2,OUTPAT | Service Sector: Day surgery,517002,,2002300106,OUTPAT | Palvelua: Päiväkirurgia,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,0.00,APPROVED,UNREVIEWED,Sam,1674691200000,9202,Outpatient Visit,Visit,MAPS_TO,,Javier,1674691200000,
OPER_IN|2,OPER_IN | Service Sector: Day surgery,20376,,2002300107,OPER_IN | Palvelua: Päiväkirurgia,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,0.00,APPROVED,UNREVIEWED,Sam,1674691200000,9202,Outpatient Visit,Visit,MAPS_TO,,Javier,1674691200000,
OPER_OUT|2,OPER_OUT | Service Sector: Day surgery,1007294,,2002300108,OPER_OUT | Palvelua: Päiväkirurgia,SRC|ServiceSector,Visit,1995-01-01,2018-12-31,0.00,APPROVED,UNREVIEWED,Sam,1674691200000,9202,Outpatient Visit,Visit,MAPS_TO,,Javier,1674691200000,
INPAT|31,INPAT | Service Sector: Institutional service for the elderly,0,,2002300109,INPAT | Palvelua: Iäkkäiden laitospalvelu,SRC|ServiceSector,Visit,1995-01-01,2099-12-31,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
OUTPAT|31,OUTPAT | Service Sector: Institutional service for the elderly,0,,2002300110,OUTPAT | Palvelua: Iäkkäiden laitospalvelu,SRC|ServiceSector,Visit,1995-01-01,2099-12-31,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
OPER_IN|31,OPER_IN | Service Sector: Institutional service for the elderly,0,,2002300111,OPER_IN | Palvelua: Iäkkäiden laitospalvelu,SRC|ServiceSector,Visit,1995-01-01,2099-12-31,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
OPER_OUT|31,OPER_OUT | Service Sector: Institutional service for the elderly,0,,2002300112,OPER_OUT | Palvelua: Iäkkäiden laitospalvelu,SRC|ServiceSector,Visit,1995-01-01,2099-12-31,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
INPAT|32,INPAT | Service Sector: Enhanced service housing for the elderly,0,,2002300113,INPAT | Palvelua: Iäkkäiden tehostettu palveluasuminen,SRC|ServiceSector,Visit,1995-01-01,2099-12-31,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
OUTPAT|32,OUTPAT | Service Sector: Enhanced service housing for the elderly,0,,2002300114,OUTPAT | Palvelua: Iäkkäiden tehostettu palveluasuminen,SRC|ServiceSector,Visit,1995-01-01,2099-12-31,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
OPER_IN|32,OPER_IN | Service Sector: Enhanced service housing for the elderly,0,,2002300115,OPER_IN | Palvelua: Iäkkäiden tehostettu palveluasuminen,SRC|ServiceSector,Visit,1995-01-01,2099-12-31,0.00,UNCHECKED,UNREVIEWED,,0,0,Unmapped,,MAPS_TO,,,0,
