sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:sourceConceptId,ADD_INFO:sourceName_fi,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
A01.0+G01,Meningitis (in) typhoid fever,-1,,2000500101,Lavantautiin liittyvä aivokalvotulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,4100102,Meningitis due to typhoid fever,Condition,MAPS_TO,,TAYS,1623974400000,
A01.0+I39.8,Endocarditis in typhoid fever,-1,,2000500102,Lavantautiin liittyvä sydämen sisäkalvon tulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,4111401,Endocarditis - typhoid,Condition,MAPS_TO,,TAYS,1623974400000,
A01.0+J17.0,Typhoid fever pneumonia,-1,,2000500103,Lavantautiin liittyvä keuhkokuume,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,4166072,Pneumonia in typhoid fever,Condition,MAPS_TO,,TAYS,1623974400000,
A02.2+G01,Salmonella meningitis,-1,,2000500105,Salmonellan aiheuttama aivokalvotulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,437772,Salmonella meningitis,Condition,MAPS_TO,,TAYS,1623974400000,
A02.2+H22.0,Salmonella iridocyclitis,-1,,2000500106,Salmonellan aiheuttama värikalvon ja sädekehän tulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,133685,Salmonella infection,Condition,MAPS_TO,,TAYS,1623974400000,
A02.2+H22.0,Salmonella iridocyclitis,-1,,2000500106,Salmonellan aiheuttama värikalvon ja sädekehän tulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,434926,Iridocyclitis,Condition,MAPS_TO,,TAYS,1623974400000,
A02.2+J17.0,Salmonella pneumonia,-1,,2000500107,Salmonellan aiheuttama keuhkokuume,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,258333,Salmonella pneumonia,Condition,MAPS_TO,,TAYS,1623974400000,
A02.2+M01.3,Salmonella arthritis,-1,,2000500108,Salmonellan aiheuttama niveltulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,80316,Salmonella arthritis,Condition,MAPS_TO,,TAYS,1623974400000,
A02.2+M90.2,Salmonella osteomyelitis,-1,,2000500109,Salmonellan aiheuttama osteomyeliitti,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,134264,Salmonella osteomyelitis,Condition,MAPS_TO,,TAYS,1623974400000,
A04.6+M03.2,Postinfectious arthropathy in enteritis due to Yersinia enterocolitica,-1,,2000500111,Yersinia enterocolitica -suolitulehduksen aiheuttama nivelsairaus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TYKS,1624924800000,37116460,Parasitic postinfectious arthropathy,Condition,MAPS_TO,,TYKS,1624924800000,
A04.6+M03.2,Postinfectious arthropathy in enteritis due to Yersinia enterocolitica,-1,,2000500111,Yersinia enterocolitica -suolitulehduksen aiheuttama nivelsairaus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TYKS,1624924800000,46273592,Enteritis due to Yersinia enterocolitica,Condition,MAPS_TO,,TYKS,1624924800000,
A06.5+J99.8,Amoebic abscess of lung,-1,,2000500112,Ameban aiheuttama keuhkopaise,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,256023,Amebic lung abscess,Condition,MAPS_TO,,TAYS,1623974400000,
A06.6+G07,Amoebic abscess of brain,-1,,2000500113,Ameban aiheuttama aivopaise,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,373684,Amebic brain abscess,Condition,MAPS_TO,,TAYS,1623974400000,
A06.8+N51.2,Amobeic balanitis,-1,,2000500114,Ameban aiheuttama terskatulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,4173717,Amebic balanitis,Condition,MAPS_TO,,TAYS,1623974400000,
A17.0+G01,Tuberculous meningitis,-1,,2000500115,Tuberkuloottinen meningiitti,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,434557,Tuberculosis,Condition,MAPS_TO,,TAYS,1623974400000,
A17.0+G01,Tuberculous meningitis,-1,,2000500115,Tuberkuloottinen meningiitti,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,435785,Meningitis,Condition,MAPS_TO,,TAYS,1623974400000,
A17.1+G07,Meningeal tuberculoma,-1,,2000500116,Aivokalvojen tuberkulooma,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,440937,Tuberculoma of meninges,Condition,MAPS_TO,,TAYS,1623974400000,
A17.8+G05.0,Tuberculous meningoencephalitis,-1,,2000500117,Tuberkuloottinen aivokalvo-aivotulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,4150516,Tuberculous meningoencephalitis,Condition,MAPS_TO,,TAYS,1623974400000,
A17.8+G07,Tuberculoma or tuberculosis of brain or spinal cord,-1,,2000500118,Aivojen tuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,4130374,Tuberculosis of brain,Condition,MAPS_TO,,TAYS,1623974400000,
A17.8+G63.0,Tuberculous polyneuropathy,-1,,2000500119,Tuberkuloottinen monihermosairaus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,434557,Tuberculosis,Condition,MAPS_TO,,TAYS,1623974400000,
A17.8+G63.0,Tuberculous polyneuropathy,-1,,2000500119,Tuberkuloottinen monihermosairaus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,4174262,Polyneuropathy,Condition,MAPS_TO,,TAYS,1623974400000,
A18.0+H75.0,Tuberculous mastoiditis,-1,,2000500121,Tuberkuloottinen kartiolisäkkeen tulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,441776,Tuberculosis of mastoid process,Condition,MAPS_TO,,TAYS,1623974400000,
A18.0+M01.1,Tuberculous arthritis,-1,,2000500122,Tuberkuloottinen nivelinfektio,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,4098475,Tuberculous arthritis,Condition,MAPS_TO,,TAYS,1623974400000,
A18.0+M49.0,Tuberculosis of spine,-1,,2000500123,Selkärangan tuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TYKS,1623888000000,40490822,Tuberculosis of spinal cord,Condition,MAPS_TO,,TYKS,1623888000000,
A18.0+M68.0,Tuberculous synovitis,-1,,2000500124,Tuberkuloottinen nivelkalvotulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,4121541,Tuberculous synovitis,Condition,MAPS_TO,,TAYS,1623974400000,
A18.0+M90.0,Tuberculosis of bone,-1,,2000500125,Luutuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,80626,Tuberculosis of bone,Condition,MAPS_TO,,TAYS,1623974400000,
A18.1+N29.1,Tuberculosis of the kidney or ureter,-1,,2000500126,Tuberkuloosiin liittyvä munuais- tai virtsanjohdinsairaus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,72817,Tuberculosis of urinary organs,Condition,MAPS_TO,,TAYS,1623974400000,
A18.1+N33.0,Tuberculous cystitis,-1,,2000500127,Virtsarakon tuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,198674,Tuberculosis of bladder,Condition,MAPS_TO,,TAYS,1623974400000,
A18.1+N51.0,Tuberculous prostatitis,-1,,2000500128,Tuberkuloottinen eturauhastulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,4068849,Tuberculosis of prostate,Condition,MAPS_TO,,TAYS,1623974400000,
A18.1+N51.1,Tuberculosis of epididymis,-1,,2000500129,Kiveksen tuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TYKS,1623888000000,4224748,Tuberculosis of testis,Condition,MAPS_TO,,TYKS,1623888000000,
A18.1+N51.8,Tuberculosis of the male genitalia,-1,,2000500130,Miehen sukupuolielinten tuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,192818,Tuberculosis of male genital organs,Condition,MAPS_TO,,TAYS,1623974400000,
A18.1+N74.0,Tuberculous infection of cervix uteri,-1,,2000500131,Kohdunkaulan tuberkuloosi,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,4266861,Tuberculous cervicitis,Condition,MAPS_TO,,TAYS,1623974400000,
A18.1+N74.1,Female tuberculous pelvic inflammatory disease,-1,,2000500132,Sisäsynnytinten tuberkuloottinen tulehdus,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TYKS,1623888000000,4056331,Female tuberculous pelvic inflammatory disease,Condition,MAPS_TO,,TYKS,1623888000000,
A18.1+N77.0,Tuberculous ulceration of vulva,-1,,2000500133,Tuberkuloosiin liittyvä ulkosynnyttimien haavauma,ICD10fi Hierarchy,Condition,1900-01-01,2099-12-31,0.00,APPROVED,UNREVIEWED,TAYS,1623974400000,36713392,Tuberculous ulceration of vulva,Condition,MAPS_TO,,TAYS,1623974400000,
