sourceCode,sourceName,sourceFrequency,sourceAutoAssignedConceptIds,ADD_INFO:sourceConceptId,ADD_INFO:sourceName_fi,ADD_INFO:sourceConceptClass,ADD_INFO:sourceDomain,ADD_INFO:sourceValidStartDate,ADD_INFO:sourceValidEndDate,matchScore,mappingStatus,equivalence,statusSetBy,statusSetOn,conceptId,conceptName,domainId,mappingType,comment,createdBy,createdOn,assignedReviewer
A,Nervous system,-1,,2001300101,Hermosto,NCSPfi Level 0,Procedure,1900-01-01,2030-12-31,0.00,APPROVED,UNREVIEWED,kalleaseppala,1590969600000,4096246,Structure of nervous system,Spec Anatomic Site,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1AA,Head X-ray examination,1744,,2001300104,Kallon röntgen,NCSPfi Level 3,Procedure,1999-01-01,2030-12-31,0.00,APPROVED,UNREVIEWED,tays,1596153600000,4184771,X-ray of skull,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1AD,CT of head and brain,61318,,2001300105,Pään tietokonetomografiatutkimus,NCSPfi Level 3,Procedure,1999-01-01,2030-12-31,0.00,APPROVED,UNREVIEWED,tays,1596153600000,4125350,CT of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1AG,Short MRI examination of brain with median intensity magnet,1132,,2001300107,Pään suppea magneettitutkimus,NCSPfi Level 3,Procedure,1999-01-01,2030-12-31,0.00,APPROVED,UNREVIEWED,tays,1596153600000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1AM,Short MRI examination of brain with 3 Tesla magnet,203,,2001300108,Pään suppea 3 Teslan MT,NCSPfi Level 3,Procedure,2009-01-01,2016-12-31,0.00,APPROVED,UNREVIEWED,tays,1625011200000,37311324,MRI of brain,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1BA,Extenxive X-ray examination of head,42,,2001300109,Kallon laaja röntgen,NCSPfi Level 3,Procedure,1999-01-01,2030-12-31,0.00,APPROVED,UNREVIEWED,tays,1623974400000,4171700,Radiography of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1BD,Extensive CT of head and brain,7215,,2001300110,Pään laaja tietokonetomografiatutkimus,NCSPfi Level 3,Procedure,1999-01-01,2021-12-31,0.00,APPROVED,UNREVIEWED,tays,1596153600000,4125350,CT of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1BF,Standard MRI examination of brain with median intensity magnet,14,,2001300111,Pään magneettitutkimus keskikenttälaitteella,NCSPfi Level 3,Procedure,1999-01-01,2016-12-31,0.00,APPROVED,UNREVIEWED,TYKS,1624320000000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1BG,Standard MRI examination of brain with high intensity magnet,9785,,2001300112,Pään magneettitutkimus,NCSPfi Level 3,Procedure,1999-01-01,2030-12-31,0.00,APPROVED,UNREVIEWED,tays,1596153600000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1BM,MRI examination of brain with 3 Tesla magnet,1117,,2001300113,Pään 3 Teslan MT,NCSPfi Level 3,Procedure,2009-01-01,2016-12-31,0.00,APPROVED,UNREVIEWED,tays,1596153600000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1CD,Very extensive CT of head and brain,6245,,2001300114,Pään erittäin laaja tietokonetomografiatutkimus,NCSPfi Level 3,Procedure,1999-01-01,2021-12-31,0.00,APPROVED,UNREVIEWED,tays,1596153600000,4125350,CT of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1CF,Extensive MRI examination of brain with median intensity magnet,-1,,2001300115,Pään laaja magneettitutkimus keskikenttälaitteella,NCSPfi Level 3,Procedure,1999-01-01,2016-12-31,0.00,APPROVED,UNREVIEWED,TYKS,1624320000000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1CG,Extensive MRI examination of brain with high intensity magnet,18020,,2001300116,Pään laaja magneettitutkimus,NCSPfi Level 3,Procedure,1999-01-01,2030-12-31,0.00,APPROVED,UNREVIEWED,tays,1596153600000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1CM,Extensive MRI examination of brain with 3 Tesla magnet,6099,,2001300117,Pään laaja 3 Teslan MT,NCSPfi Level 3,Procedure,2009-01-01,2016-12-31,0.00,APPROVED,UNREVIEWED,tays,1596153600000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1DD,Head and neck CT,95,,2001300118,Pään ja kaularangan tietokonetomografiatutkimus,NCSPfi Level 3,Procedure,2009-01-01,2030-12-31,0.00,APPROVED,UNREVIEWED,tays,1625011200000,4324344,CT of head and neck,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1DG,Very extensive MRI examination of brain with high intensity magnet,7075,,2001300120,Pään erittäin laaja magneettitutkimus,NCSPfi Level 3,Procedure,1999-01-01,2030-12-31,0.00,APPROVED,UNREVIEWED,tays,1596153600000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1DM,Very extensive MRI examination of brain with 3 Tesla magnet,1482,,2001300121,Pään erittäin laaja 3 Teslan MT,NCSPfi Level 3,Procedure,2009-01-01,2016-12-31,0.00,APPROVED,UNREVIEWED,tays,1596153600000,4082979,MRI of head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1FD,Trauma CT of head and face,-1,,2001300123,Pään ja kasvojen trauma-tietokonetomografiatutkimus,NCSPfi Level 3,Procedure,2018-12-01,2030-12-31,0.00,APPROVED,UNREVIEWED,TYKS,1624320000000,4075967,Examination for injuries,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1FD,Trauma CT of head and face,-1,,2001300123,Pään ja kasvojen trauma-tietokonetomografiatutkimus,NCSPfi Level 3,Procedure,2018-12-01,2030-12-31,0.00,APPROVED,UNREVIEWED,TYKS,1624320000000,4254070,CT of entire head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA1XD,Other special CT of head and brain,-1,,2001300125,Pään muu TT,NCSPfi Level 3,Procedure,1999-01-01,2003-11-04,0.00,APPROVED,UNREVIEWED,TYKS,1624320000000,4254070,CT of entire head,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA3AA,Facial bones X-ray examination,424,,2001300129,Kasvonluiden röntgen,NCSPfi Level 3,Procedure,1999-01-01,2030-12-31,0.00,APPROVED,UNREVIEWED,tyks,1623888000000,4284961,Diagnostic radiography of facial bones,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
AA3AD,CT of face,663,,2001300130,Kasvojen tietokonetomografiatutkimus,NCSPfi Level 3,Procedure,2011-01-01,2030-12-31,0.00,APPROVED,UNREVIEWED,tays,1623974400000,4061008,CT of face,Procedure,MAPS_TO,,Mikolaj Wojnicki,1590969600000,
